ARI,@WAS,NYG,DAL,@SF,CIN,@LAR,@SEA,BAL,@CLE,ATL,@HOU,LAR,@PIT,BYE,SF,@CHI,@PHI,SEA
ATL,CAR,GB,@DET,@JAX,HOU,WAS,@TB,@TEN,MIN,@ARI,BYE,NO,@NYJ,TB,@CAR,IND,@CHI,@NO
BAL,HOU,@CIN,IND,@CLE,@PIT,@TEN,DET,@ARI,SEA,CLE,CIN,@LAC,BYE,LAR,@JAX,@SF,MIA,PIT
BUF,@NYJ,LV,@WAS,MIA,JAX,NYG,@NE,TB,@CIN,DEN,NYJ,@PHI,BYE,@KC,DAL,@LAC,NE,@MIA
CAR,@ATL,NO,@SEA,MIN,@DET,@MIA,BYE,HOU,IND,@CHI,DAL,@TEN,@TB,@NO,ATL,GB,@JAX,TB
CHI,GB,@TB,@KC,DEN,@WAS,MIN,LV,@LAC,@NO,CAR,@DET,@MIN,BYE,DET,@CLE,ARI,ATL,@GB
CIN,@CLE,BAL,LAR,@TEN,@ARI,SEA,BYE,@SF,BUF,HOU,@BAL,PIT,@JAX,IND,MIN,@PIT,@KC,CLE
CLE,CIN,@PIT,TEN,BAL,BYE,SF,@IND,@SEA,ARI,@BAL,PIT,@DEN,@LAR,JAX,CHI,@HOU,NYJ,@CIN
DAL,@NYG,NYJ,@ARI,NE,@SF,@LAC,BYE,LAR,@PHI,NYG,@CAR,WAS,SEA,PHI,@BUF,@MIA,DET,@WAS
DEN,LV,WAS,@MIA,@CHI,NYJ,@KC,GB,KC,BYE,@BUF,MIN,CLE,@HOU,@LAC,@DET,NE,LAC,@LV
DET,@KC,SEA,ATL,@GB,CAR,@TB,@BAL,LV,BYE,@LAC,CHI,GB,@NO,@CHI,DEN,@MIN,@DAL,MIN
GB,@CHI,@ATL,NO,DET,@LV,BYE,@DEN,MIN,LAR,@PIT,LAC,@DET,KC,@NYG,TB,@CAR,@MIN,CHI
HOU,@BAL,IND,@JAX,PIT,@ATL,NO,BYE,@CAR,TB,@CIN,ARI,JAX,DEN,@NYJ,@TEN,CLE,TEN,@IND
IND,JAX,@HOU,@BAL,LAR,TEN,@JAX,CLE,NO,@CAR,@NE,BYE,TB,@TEN,@CIN,PIT,@ATL,LV,HOU
JAX,@IND,KC,HOU,ATL,@BUF,IND,@NO,@PIT,BYE,SF,TEN,@HOU,CIN,@CLE,BAL,@TB,CAR,@TEN
KC,DET,@JAX,CHI,@NYJ,@MIN,DEN,LAC,@DEN,MIA,BYE,PHI,@LV,@GB,BUF,@NE,LV,CIN,@LAC
LV,@DEN,@BUF,PIT,@LAC,GB,NE,@CHI,@DET,NYG,NYJ,@MIA,KC,BYE,MIN,LAC,@KC,@IND,DEN
LAR,@SEA,SF,@CIN,@IND,PHI,ARI,PIT,@DAL,@GB,BYE,SEA,@ARI,CLE,@BAL,WAS,NO,@NYG,@SF
LAC,MIA,@TEN,@MIN,LV,BYE,DAL,@KC,CHI,@NYJ,DET,@GB,BAL,@NE,DEN,@LV,BUF,@DEN,KC
MIA,@LAC,@NE,DEN,@BUF,NYG,CAR,@PHI,NE,@KC,BYE,LV,@NYJ,@WAS,TEN,NYJ,DAL,@BAL,BUF
MIN,TB,@PHI,LAC,@CAR,KC,@CHI,SF,@GB,@ATL,NO,@DEN,CHI,BYE,@LV,@CIN,DET,GB,@DET
NE,PHI,MIA,@NYJ,@DAL,NO,@LV,BUF,@MIA,WAS,IND,BYE,@NYG,LAC,@PIT,KC,@DEN,@BUF,NYJ
NO,TEN,@CAR,@GB,TB,@NE,@HOU,JAX,@IND,CHI,@MIN,BYE,@ATL,DET,CAR,NYG,@LAR,@TB,ATL
NYG,DAL,@ARI,@SF,SEA,@MIA,@BUF,WAS,NYJ,@LV,@DAL,@WAS,NE,BYE,GB,@NO,@PHI,LAR,PHI
NYJ,BUF,@DAL,NE,KC,@DEN,PHI,BYE,@NYG,LAC,@LV,@BUF,MIA,ATL,HOU,@MIA,WAS,@CLE,@NE
PHI,@NE,MIN,@TB,WAS,@LAR,@NYJ,MIA,@WAS,DAL,BYE,@KC,BUF,SF,@DAL,@SEA,NYG,ARI,@NYG
PIT,SF,CLE,@LV,@HOU,BAL,BYE,@LAR,JAX,TEN,GB,@CLE,@CIN,ARI,NE,@IND,CIN,@SEA,@BAL
SF,@PIT,@LAR,NYG,ARI,DAL,@CLE,@MIN,CIN,BYE,@JAX,TB,@SEA,@PHI,SEA,@ARI,BAL,@WAS,LAR
SEA,LAR,@DET,CAR,@NYG,BYE,@CIN,ARI,CLE,@BAL,WAS,@LAR,SF,@DAL,@SF,PHI,@TEN,PIT,@ARI
TB,@MIN,CHI,PHI,@NO,BYE,DET,ATL,@BUF,@HOU,TEN,@SF,@IND,CAR,@ATL,@GB,JAX,NO,@CAR
TEN,@NO,LAC,@CLE,CIN,@IND,BAL,BYE,ATL,@PIT,@TB,@JAX,CAR,IND,@MIA,HOU,SEA,@HOU,JAX
WAS,ARI,@DEN,BUF,@PHI,CHI,@ATL,@NYG,PHI,@NE,@SEA,NYG,@DAL,MIA,BYE,@LAR,@NYJ,SF,DAL